goalie,period,x,y,shotType,target,goalProb
8477293,1,70.0,1.0,Tip-In,0,0.138
8477293,1,42.0,13.0,Snap Shot,0,0.032
8477293,1,72.0,28.0,Wrist Shot,0,0.043
8477293,1,78.0,-1.0,Backhand,0,0.165
8477293,1,66.0,-11.0,Tip-In,0,0.086
8478406,1,60.0,-23.0,Wrist Shot,0,0.051
8477293,1,45.0,8.0,Slap Shot,0,0.047
8478406,1,46.0,29.0,Snap Shot,0,0.021
8477293,1,71.0,0.0,Tip-In,0,0.138
8477293,1,60.0,-5.0,Snap Shot,0,0.092
8477293,1,46.0,20.0,Slap Shot,0,0.132
8478406,1,73.0,28.0,Wrist Shot,0,0.051
8478406,1,58.0,21.0,Wrist Shot,0,0.047
8477293,1,59.0,27.0,Wrist Shot,0,0.03
8477293,1,79.0,24.0,Snap Shot,1,0.047
8477293,1,50.0,18.0,Snap Shot,0,0.055
8477293,1,74.0,-22.0,Slap Shot,0,0.126
8477293,1,53.0,19.0,Snap Shot,0,0.081
8477293,1,70.0,-16.0,Snap Shot,1,0.157
8478406,1,62.0,0.0,Wrist Shot,1,0.086
8477293,2,54.0,-15.0,Wrist Shot,0,0.063
8477293,2,83.0,-10.0,Wrist Shot,0,0.121
8477293,2,69.0,-19.0,Wrist Shot,0,0.107
8478406,2,70.0,-2.0,Backhand,1,0.13
8477293,2,64.0,30.0,Slap Shot,0,0.07
8477293,2,73.0,13.0,Snap Shot,0,0.17
8478406,2,68.0,-18.0,Wrist Shot,0,0.078
8477293,2,74.0,31.0,Slap Shot,0,0.059
